yolculuk_tarihi,tatil_gunu_mu,Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar,saat_sin,saat_cos,yolcu_sayisi,yolcu_sayisi_scaled
2020-01-01,1,0,0,1,0,0,0,0,0.0,1.0,4118,0.09475040850613335
2020-01-01,1,0,0,1,0,0,0,0,0.9659258262890684,0.2588190451025208,1455,0.033462981289268376
2020-01-01,1,0,0,1,0,0,0,0,1.0,6.123233995736766e-17,3759,0.08648822811903063
2020-01-01,1,0,0,1,0,0,0,0,0.9659258262890684,-0.2588190451025207,6145,0.14140065821269934
2020-01-01,1,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999997,6757,0.15548548940185494
2020-01-01,1,0,0,1,0,0,0,0,0.7071067811865477,-0.7071067811865475,6501,0.14959379530965913
2020-01-01,1,0,0,1,0,0,0,0,0.4999999999999999,-0.8660254037844386,6782,0.15606085015304594
2020-01-01,1,0,0,1,0,0,0,0,0.258819045102521,-0.9659258262890684,8648,0.19900577662194194
2020-01-01,1,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,12268,0.28231801339439827
2020-01-01,1,0,0,1,0,0,0,0,-0.2588190451025208,-0.9659258262890684,16606,0.38215461094106
2020-01-01,1,0,0,1,0,0,0,0,-0.4999999999999997,-0.8660254037844387,21713,0.49968930519435684
2020-01-01,1,0,0,1,0,0,0,0,-0.7071067811865471,-0.707106781186548,22843,0.52569561114819
2020-01-01,1,0,0,1,0,0,0,0,-0.8660254037844383,-0.5000000000000003,24648,0.5672366573841799
2020-01-01,1,0,0,1,0,0,0,0,-0.9659258262890684,-0.2588190451025207,25630,0.5898368276909622
2020-01-01,1,0,0,1,0,0,0,0,-1.0,-1.8369701987210292e-16,25443,0.5855331292720536
2020-01-01,1,0,0,1,0,0,0,0,-0.9659258262890684,0.2588190451025203,21699,0.4993671031736899
2020-01-01,1,0,0,1,0,0,0,0,-0.8660254037844385,0.5,15798,0.363558951462567
2020-01-01,1,0,0,1,0,0,0,0,-0.7071067811865477,0.7071067811865474,12323,0.28358380704701847
2020-01-01,1,0,0,1,0,0,0,0,-0.5000000000000003,0.8660254037844383,10497,0.24155945778002808
2020-01-01,1,0,0,1,0,0,0,0,-0.2588190451025215,0.9659258262890682,6030,0.13875399875722078
2020-01-02,0,0,0,0,1,0,0,0,0.0,1.0,268,0.0061448528227198455
2020-01-02,0,0,0,0,1,0,0,0,0.9659258262890684,0.2588190451025208,1039,0.023888978389450186
2020-01-02,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,9081,0.20897102483257002
2020-01-02,0,0,0,0,1,0,0,0,0.9659258262890684,-0.2588190451025207,33099,0.7617316057167844
2020-01-02,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999997,34829,0.8015465696992015
2020-01-02,0,0,0,0,1,0,0,0,0.7071067811865477,-0.7071067811865475,19002,0.4372971853352052
2020-01-02,0,0,0,0,1,0,0,0,0.4999999999999999,-0.8660254037844386,13867,0.3191180870405744
2020-01-02,0,0,0,0,1,0,0,0,0.258819045102521,-0.9659258262890684,14597,0.3359186209753515
2020-01-02,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,16815,0.3869646268210168
2020-01-02,0,0,0,0,1,0,0,0,-0.2588190451025208,-0.9659258262890684,17637,0.40588248832017676
2020-01-02,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844387,19063,0.43870106556811117
2020-01-02,0,0,0,0,1,0,0,0,-0.7071067811865471,-0.707106781186548,23776,0.5471680743826379
2020-01-02,0,0,0,0,1,0,0,0,-0.8660254037844383,-0.5000000000000003,24960,0.5744171595590436
2020-01-02,0,0,0,0,1,0,0,0,-0.9659258262890684,-0.2588190451025207,29301,0.6743228003958482
2020-01-02,0,0,0,0,1,0,0,0,-1.0,-1.8369701987210292e-16,35708,0.8217762537110769
2020-01-02,0,0,0,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,28463,0.6550367080159261
2020-01-02,0,0,0,0,1,0,0,0,-0.8660254037844385,0.5,15162,0.3489217739522681
2020-01-02,0,0,0,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,10192,0.2345400566154979
2020-01-02,0,0,0,0,1,0,0,0,-0.5000000000000003,0.8660254037844383,9060,0.20848772180156958
2020-01-02,0,0,0,0,1,0,0,0,-0.2588190451025215,0.9659258262890682,4855,0.11171204345124393
2020-01-03,0,0,0,0,0,1,0,0,0.0,1.0,192,0.0043957561390992154
2020-01-03,0,0,0,0,0,1,0,0,0.9659258262890684,0.2588190451025208,906,0.020828059193114083
2020-01-03,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,8447,0.19437987618236632
2020-01-03,0,0,0,0,0,1,0,0,0.9659258262890684,-0.2588190451025207,31490,0.7247013877701319
2020-01-03,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999997,33561,0.7723642723987941
2020-01-03,0,0,0,0,0,1,0,0,0.7071067811865477,-0.7071067811865475,18307,0.42130215645209546
2020-01-03,0,0,0,0,0,1,0,0,0.4999999999999999,-0.8660254037844386,13640,0.3138938114197602
2020-01-03,0,0,0,0,0,1,0,0,0.258819045102521,-0.9659258262890684,14591,0.3357805343950657
2020-01-03,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,17207,0.3959862833996916
2020-01-03,0,0,0,0,0,1,0,0,-0.2588190451025208,-0.9659258262890684,17253,0.39704494718188305
2020-01-03,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844387,20944,0.4819912084877218
